title,score,synopsis,genres,episodes,characters
Mai-Otome,71,Sorprendente de principio a fin; superó mis expectativas (71.0).,"Comedy, Drama, Fantasy, Mystery",3.8,"Meili Zhou, Maoxing Liu, Leien, Feihong Lan, Silang, Xielu"
Initial D,74,Muy recomendado: ritmo sólido y personajes entrañables (74.0).,"Comedy, Drama, Fantasy, Supernatural",4.76,"Chihaya Yamase, Haruaki Akai, Kuriko Kazetsubaki, Kazumi Matsuda, Sayumi Morisaki, Raika Naruo, Shino Akai, Elizabeth, Yuna Miyama, Rin Kamishiro, Kaori Iba, Kazuki Shikimori, Yukihiko Nakamaru, Mitsuhiro Uki, Karei Hirosaki, Takashi Yamaguchi"
Shinpi no Sekai El Hazard (TV),70,Excelente experiencia; animación y banda sonora destacadas (70.0).,"Comedy, Drama, Romance, Sci-Fi",26.41,"Kamui Shirou, Fuuma Monou, Subaru Sumeragi, Seiichiro Aoki, Arashi Kishu, Kanoe, Hinoto, Karen Kasumi, Satsuki Yatouji, Nataku, Kotori Monou, Kusanagi Shiyu, Sorata Arisugawa, Yuto Kigai, Tooru Shirou, Seishirou Sakurazuka, Yuzuriha Nekoi"
Ring ni Kakero 1,76,Historia atrapante y bien ejecutada. Repetiría sin dudar (76.0).,"Action, Adventure, Drama, Fantasy",24.44,"Kouya Sakagami, Soubi Agatsuma, Ginka, Hitomi Shinonome, Ritsuka Aoyagi, Kinka, Ai Myoushin, Nana Saotome, Yayoi Shioiri, Seimei Aoyagi, Yuiko Hawatari, Nagisa Sagan, Ritsu Minami, Natsuo Sagan, Midori Arai, Youji Sagan, Yamato Nakano, Kio Kaidou, Katsuko Sensei, Misaki Aoyagi"
RahXephon,64,Gran equilibrio entre acción y desarrollo de personajes (64.0).,"Action, Adventure, Comedy, Ecchi, Sci-Fi",5.71,"Mutsumi Otohime, Akiko Taichi, Naru Narusegawa, Keitarou Urashima, Motoko Aoyama, Yashuhara Maehara, Mitsune Konno, Kaolla Suu, Shinobu Maehara, Sarah McDougal, Ken Akamatsu, Kimiaki Shirai, Kentarou Sakata, Masayuki Haitani, Haruka Urashima, Kikuko Onoue, Mei Narusegawa, Seta Noriyasu, Sachiyo Matsumoto, Tamago Onsen, Emi Ichikawa"
Shin Kidou Senki Gundam Wing,71,Muy recomendado: ritmo sólido y personajes entrañables (71.0).,"Action, Comedy, Drama, Mystery",49.78,"Reiji Kageyama, Jim Skylark, Ruriko Ikusawa, Reiko Asagiri, Shun Ukiya, Kaoru Konoe, Choutarou Banba, Sayumi Ukiya, Jun Thunders, Yukino Houjou, Meguro Kanetake, Fei Ling Feng, Misao Sakimori, Megumi Kurogane"
Kidou Butouden G Gundam,53,Historia atrapante y bien ejecutada. Repetiría sin dudar (53.0).,"Action, Adventure, Fantasy, Horror, Sci-Fi",1.29,"Masakazu Tougou, Kouriyama, Eri Sawachika, Pyotr, Lala Gonzalez, Yakumo Tsukamoto, Junko Tonami, Genkai Gotou, Kouji Yakushamaru, Kenji Harima, Tenma Tsukamoto, Tae Anegasaki, Itoko Osakabe, Akira Takano, Kazuya Tanaka, Mikoto Suou, Tsumugi Yuuki, Jirou Yoshidayama, Kentarou Nara, Harry McKenzie, Fuyuki Takeichi, Oji Karasuma, Megumi Sagano, Karen Ichijou, Sarah Adiemus"
Aishiteruze Baby★★,83,Muy recomendado: ritmo sólido y personajes entrañables (83.0).,"Drama, Mecha, Romance",1.0,"Namiko, Ayumi Kubota, Shouta no Haha, Miki Sakashita, Eiichi Katakura, Sofu, Satsuki Katakura, Kokoro Tokunaga, Kazuhiro Tsuchiya, Miki no Chichi, Kippei Katakura, Yuzuyu Sakashita, Reiko Katakura, Mai Motoki, Etsuko, Kana, Nattsu, Kokoro no Haha, Misako Katakura, Yuzuyu no Papa, Shin Tabata, Marika, Ken, Enchou-sensei, Itsumi"
Kimi ga Nozomu Eien,71,Gran equilibrio entre acción y desarrollo de personajes (71.0).,"Comedy, Romance, Slice of Life",3.78,"Shizuka Tsuzaki, Rui Kousaka, Satsuki Kawamoto, Ryouhei Ogawara, Mel J Vanette, Kouse, Shiva, Elny Tachibana, Kokusho, Aoba Tsuzaki, Hiroshi Kawamoto, Minami Kousaka, Akao Hiiragi, Genta Ogawara"
Gosenzo San'e,62,Gran equilibrio entre acción y desarrollo de personajes (62.0).,"Action, Drama, Romance, Supernatural",13.05,"Freedert, Satoshi Hiwatari, Dark Mousy, Towa no Shirube, Risa Harada, Daichi Niwa, Ehrlich von Vandembagu, Daisuke Niwa, Kei Hiwatari, Krad, Daiki Niwa, Riku Harada, Kosuke Niwa, Takeshi Saehara, Rika, Mio Hio, Ayaka Hatori, Emiko Niwa, Second Hand of Time, Ispector Saehara, Menou Kurashina, Misaki Nishizawa, Classmate, Kaseta, Bianca von Vandembagu"
Tenshi na Konamaiki,80,Historia atrapante y bien ejecutada. Repetiría sin dudar (80.0).,"Action, Drama, Mecha, Sci-Fi",49.53,"Kaoruko Ichijou, Lala Hinagiku, Lulu Hinagiku, Sumireko Ichijou, Souju Shirogane, Koi Chigusa, Sara Shirogane, Nozomu Futami, Keisuke Kosaka, Ui Chigusa, Ai Momoi, Kira Sakurazuki, Yura Sakurazuki, Mai Momoi"
Kidou Senshi Gundam,65,Excelente experiencia; animación y banda sonora destacadas (65.0).,"Adventure, Comedy, Fantasy",23.68,"Jean Fabre, Joseph Carpenter, Genjo Sanzo, Nancy Makuhari, Drake Anderson, Wendy Earhart, Yomiko Readman, Otto Lilienthal, Ikkyu Soujun, Gennai Hiraga, Stephen Wilcox, Ludwig van Beethoven"
TRIGUN,81,Muy recomendado: ritmo sólido y personajes entrañables (81.0).,"Action, Comedy",7.02,"Yzak Joule, Yolan Kent, Shinn Asuka, Haro, Murrue Ramius, Athrun Zala, Kira Yamato, Natarle Badgiruel, Stella Loussier, Lacus Clyne, Meer Campbell, Arthur Trine, Yuna Roma Seiran, Bart Heim, Lunamaria Hawke, Malik Yardbirds, Mars Symeon, Sting Oakley, Rey Za Burrel, Rau Le Creuset, Miriallia Haw, Meyrin Hawke, Mu La Flaga, Hilda Harken, Abbey Windsor"
Bakuretsu Tenshi,74,Sorprendente de principio a fin; superó mis expectativas (74.0).,"Action, Drama, Romance, Supernatural",49.98,"Sara Mudou, Rosiel, Katan, Yue Katou, Setsuna Mudou, Sakuya Kira, Alexiel, Adam Kadmon, Metatron, Arachne, Sevothtarte, Kurai, Belial, Ruri Saiki"
